route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_color,route_text_color
y1,8000020221007_1,,ゆいばす,,3,,000000
y2,8000020221007_1,,ゆいばす,,3,,000000
y3,8000020221007_1,,ゆいばす,,3,,000000
y4,8000020221007_1,,ゆいばす,,3,,000000
y5,8000020221007_1,,ゆいばす,,3,,000000
y6,8000020221007_1,,ゆいばす,,3,,000000
y7,8000020221007_1,,ゆいばす,,3,,000000
y8,8000020221007_1,,ゆいばす,,3,,000000
