stop_id,stop_name,platform_code,stop_lat,stop_lon,zone_id,location_type
t1_0,但沼車庫前,,35.0995390466613,138.508770650174,t1_0,0
t2_0,長又,,35.102168856413,138.504743116423,t2_0,0
t3_0,雨乞,,35.1064565433323,138.503736095372,t3_0,0
t4_0,清地,,35.1026199235136,138.494153725357,t4_0,0
t5_0,高瀬,,35.1081747446986,138.48984832678,t5_0,0
t6_0,和田島,,35.1096326458261,138.479363055555,t6_0,0
t7_0,和田島車庫,,35.1096586099398,138.476446636903,t7_0,0
o1_0,茂の島東,,35.108339057948,138.466447540657,o1_0,0
o2_0,茂の島,,35.1089986296605,138.463461659525,o2_0,0
o3_0,大網口,,35.1144059360888,138.460649194858,o3_0,0
o4_0,土,,35.116896774842,138.452802548415,o4_0,0
o5_0,西河内小学校,,35.1197173754931,138.442525541615,o5_0,0
o6_0,宮城,,35.1231804736777,138.440407535813,o6_0,0
o7_0,寺尾島,,35.1248815718789,138.436518914695,o7_0,0
o8_0,西里温泉前,,35.1219130783819,138.433498451841,o8_0,0
o9_0,下片瀬,,35.1276676361797,138.433359356874,o9_0,0
o10_0,片瀬,,35.1309051007468,138.432630129865,o10_0,0
o11_0,八幡温泉前,,35.1326583962492,138.433428606321,o11_0,0
o12_0,河内局前,,35.1340124186578,138.433741028319,o12_0,0
o13_0,河内,,35.1368940541719,138.434331146468,o13_0,0
o14_0,大島入口,,35.1416764572036,138.432560283187,o14_0,0
o15_0,岩下,,35.1450788008478,138.430546437416,o15_0,0
o16_0,大平南,,35.1482121414501,138.431032388197,o16_0,0
o17_0,大平下,,35.1499046629831,138.431171201044,o17_0,0
o18_0,大平中,,35.1513888577322,138.430650355941,o18_0,0
o19_0,大平,,35.155355368639,138.428428173215,o19_0,0
z1_0,高瀬上,,35.1092162925484,138.489778848786,z1_0,0
z2_0,下田橋,,35.1181300178413,138.481827800798,z2_0,0
z3_0,小川,,35.1214195440153,138.480473625031,z3_0,0
z4_0,桑又,,35.1247698103421,138.478459781059,z4_0,0
z5_0,桑原,,35.1274430409737,138.475334946529,z5_0,0
z6_0,遠呂島,,35.1311665318594,138.473425246177,z6_0,0
z7_0,遠呂島上,,35.1352371730239,138.470230920147,z7_0,0
z8_0,中河内学校前,,35.1371119924741,138.471411303758,z8_0,0
z9_0,木山野,,35.138960731405,138.470959883285,z9_0,0
z10_0,中河内,,35.1424499171156,138.470751435359,z10_0,0
z11_0,宮島,,35.1457567294025,138.466550279854,z11_0,0
z12_0,松葉,,35.1486469654059,138.46405038373,z12_0,0
z13_0,板井沢,,35.1514156730563,138.460994984129,z13_0,0
