shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
SHP0001,34.9725840078996,138.388718704413,1
SHP0001,34.9726189420429,138.388786017895,2
SHP0001,34.9726541084744,138.388828933239,3
SHP0001,34.9727024623178,138.388836979866,4
SHP0001,34.9727552119651,138.38882625103,5
SHP0001,34.9730035748878,138.388692140579,6
SHP0001,34.9736079979298,138.388531208038,7
SHP0001,34.9740190055983,138.388431966305,8
SHP0001,34.9744497943845,138.388321995735,9
SHP0001,34.974867395759,138.388209342957,10
SHP0001,34.9747245321309,138.387758731842,11
SHP0001,34.9746827719935,138.387549519539,12
SHP0001,34.9746563971698,138.387305438519,13
SHP0001,34.9746541992678,138.387093544006,14
SHP0001,34.974566283189,138.386905789375,15
SHP0001,34.9741728587362,138.38629424572,16
SHP0001,34.9745347388513,138.385865918348,17
SHP0001,34.9748300314255,138.385516405106,18
SHP0001,34.9748981663866,138.385355472565,19
SHP0001,34.9750014677792,138.385084569454,20
SHP0001,34.9751355397994,138.384749293327,21
SHP0001,34.9752190600743,138.384534716606,22
SHP0001,34.97552237,138.38378906,23
SHP0001,34.9755949013113,138.383603990078,24
SHP0001,34.9757069943118,138.383333086967,25
SHP0001,34.9757839208808,138.383142650127,26
SHP0001,34.9760015131759,138.382614254951,27
SHP0001,34.9760454663839,138.3825096488,28
SHP0001,34.9762542441218,138.381975889206,29
SHP0001,34.9764388475953,138.381506502628,30
SHP0001,34.9766938874531,138.38087272711,31
SHP0001,34.9768651937128,138.380447030067,32
SHP0001,34.9770146346199,138.380074203014,33
SHP0001,34.9771019413829,138.379873218408,34
SHP0001,34.977284946849,138.379451930523,35
SHP0001,34.9777530485141,138.379645049572,36
SHP0001,34.9778145830053,138.379653096199,37
SHP0001,34.9778585362132,138.379645049572,38
SHP0001,34.9778915011192,138.379620909691,39
SHP0001,34.977928861346,138.379572629929,40
SHP0001,34.9783222425575,138.378912806511,41
SHP0001,34.9783969630111,138.378856480122,42
SHP0001,34.9784826717666,138.378829658031,43
SHP0001,34.9785991477678,138.378896713257,44
SHP0001,34.9791112026408,138.379205167294,45
SHP0001,34.9795243627958,138.379395604134,46
SHP0001,34.9800210340461,138.379618227482,47
SHP0001,34.9803133228792,138.379755020142,48
SHP0001,34.9804891357111,138.379819393158,49
SHP0001,34.9809286677909,138.379945456982,50
SHP0001,34.9809880046217,138.379966914654,51
SHP0001,34.981264909832,138.380101025105,52
SHP0001,34.9814099554184,138.380184173584,53
SHP0001,34.9819483822162,138.38046848774,54
SHP0001,34.9824472511268,138.38071256876,55
SHP0001,34.9827593189035,138.380843997002,56
SHP0001,34.9830384217742,138.380962014198,57
