grid_id,stop_id,stop_name,walking_distance_m,walking_time_min,trips_per_hour,headway_min,avg_wait_min
2993,feed_shizuokacity_ryougouchi_20260401_20260630200904_t1_0,,832.57,9.99,2.333,25.71,12.86
2993,feed_shizuokacity_ryougouchi_20260401_20260630200904_t2_0,,936.58,11.24,2.333,25.71,12.86
3003,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b26_0,,763.57,9.16,0.333,180.0,90.0
3003,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b27_0,,481.34,5.78,0.333,180.0,90.0
3003,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b28_0,,270.64,3.25,0.333,180.0,90.0
3003,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b29_0,,381.74,4.58,0.333,180.0,90.0
3003,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b30_0,,601.99,7.22,0.333,180.0,90.0
3003,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b31_0,,882.61,10.59,0.333,180.0,90.0
3004,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b24_0,,832.03,9.98,0.333,180.0,90.0
3004,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b25_0,,745.4,8.94,0.333,180.0,90.0
3004,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b26_0,,430.44,5.17,0.333,180.0,90.0
3004,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b27_0,,148.21,1.78,0.333,180.0,90.0
3004,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b28_0,,284.99,3.42,0.333,180.0,90.0
3004,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b29_0,,405.77,4.87,0.333,180.0,90.0
3004,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b30_0,,626.02,7.51,0.333,180.0,90.0
3004,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b31_0,,865.68,10.39,0.333,180.0,90.0
3005,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b23_0,,759.43,9.11,0.333,180.0,90.0
3005,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b24_0,,429.03,5.15,0.333,180.0,90.0
3005,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b25_0,,350.36,4.2,0.333,180.0,90.0
3005,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b26_0,,382.1,4.59,0.333,180.0,90.0
3005,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b27_0,,664.32,7.97,0.333,180.0,90.0
3005,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b28_0,,786.44,9.44,0.333,180.0,90.0
3005,feed_shizuokacity_yui_kanbara_20260401_20260630200146_b29_0,,907.23,10.89,0.333,180.0,90.0
3063,feed_shizuokacity_ryougouchi_20260401_20260630200904_o4_0,,929.93,11.16,2.0,30.0,15.0
3065,feed_shizuokacity_ryougouchi_20260401_20260630200904_o1_0,,331.31,3.98,2.0,30.0,15.0
3065,feed_shizuokacity_ryougouchi_20260401_20260630200904_o2_0,,55.91,0.67,2.0,30.0,15.0
